QGPIORecord, QRC v6.1.0, 19-12-2024 @ 12:31:09, Windows 10 Version 2009, 10.0.19045, x86_64
Time, ValueIn0, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2
13574, 0.000395362, 1.16124e-08, -0.00308074, 2.4552e-05, 0.00104101, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000809942, -0.00307096
13583, 0.000395362, 1.16124e-08, -0.00305317, 0.000392292, 0.00104201, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000809942, -0.00307096
13593, 0.000395362, 1.16124e-08, -0.00303984, 0.000570018, 0.00104301, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000809942, -0.00307096
13603, 0.000395362, 1.16124e-08, -0.0030334, 0.000655911, 0.00104401, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000809942, -0.00307096
13614, 0.000395362, 1.16124e-08, -0.00303028, 0.000697423, 0.00104501, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000809942, -0.00307096
13623, 0.000602652, 1.16124e-08, -0.000726152, 0.0110731, 0.00104601, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000809942, -0.00153548
13633, 0.000602652, 1.16124e-08, -0.00111803, 0.00564608, 0.00104701, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000809942, -0.00153548
13643, 0.000602652, 1.16124e-08, -0.00132232, 0.00291995, 0.00104801, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000809942, -0.00153548
13654, 0.000602652, 1.16124e-08, -0.0014212, 0.00160141, 0.00104901, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000809942, -0.00153548
13663, 0.000602652, 1.16124e-08, -0.00146899, 0.000964159, 0.00105001, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000809942, -0.00153548
13673, 0.000809942, 1.16124e-08, 0.000810544, 0.0110118, 0.00105101, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000809942, 0
13683, 0.000809942, 1.16124e-08, 0.000406774, 0.00542624, 0.00105201, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000809942, 0
13693, 0.000809942, 1.16124e-08, 0.000196739, 0.00262349, 0.00105301, 0, 0.000208115, 0, 0.00143587, 0.0292479, 0.000809942, 0
